# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.counter,1778353214990000000,1778353275078000000,58
cacheStateStorage.set.counter,1778353214990000000,1778353275078000000,9
cacheStateStorage.set.duration,1778353214990000000,1778353275078000000,37
cacheStateStorage.get.duration,1778353214990000000,1778353275078000000,51
jps.modifiable.module.model.bridge.disposing.ms,1778353214990000000,1778353275078000000,0
jps.library.entities.serializer.load.entities.ms,1778353214990000000,1778353275078000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1778353214990000000,1778353275078000000,0
jps.load.initial.state.ms,1778353214990000000,1778353275078000000,12
workspaceModel.global.updates.ms,1778353214990000000,1778353275078000000,2
workspaceModel.moduleManagerBridge.build.module.graph.ms,1778353214990000000,1778353275078000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1778353214990000000,1778353275078000000,12
workspaceModel.mutableEntityStorage.has.same.entities.ms,1778353214990000000,1778353275078000000,1
jps.facet.change.listener.init.bridge.ms,1778353214990000000,1778353275078000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1778353214990000000,1778353275078000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1778353214990000000,1778353275078000000,13
jps.global.get.library.ms,1778353214990000000,1778353275078000000,0
jps.save.changed.project.entities.ms,1778353214990000000,1778353275078000000,11
jps.library.entities.serializer.save.entities.ms,1778353214990000000,1778353275078000000,0
workspaceModel.sync.entities.ms,1778353214990000000,1778353275078000000,0
workspaceModel.mutableEntityStorage.instances.count,1778353214990000000,1778353275078000000,93
jps.modifiable.module.model.bridge.renaming.ms,1778353214990000000,1778353275078000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1778353214990000000,1778353275078000000,3
jps.artifact.entities.serializer.load.entities.ms,1778353214990000000,1778353275078000000,0
jps.module.iml.entities.serializer.save.entities.ms,1778353214990000000,1778353275078000000,4
jps.global.handle.before.change.events.ms,1778353214990000000,1778353275078000000,0
workspaceModel.moduleBridge.update.option.ms,1778353214990000000,1778353275078000000,0
jps.artifact.entities.serializer.save.entities.ms,1778353214990000000,1778353275078000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1778353214990000000,1778353275078000000,1
workspaceModel.mutableEntityStorage.hasReferrers.ms,1778353214990000000,1778353275078000000,0
workspaceModel.do.save.caches.ms,1778353214990000000,1778353275078000000,59
jps.load.project.to.empty.storage.ms,1778353214990000000,1778353275078000000,36
workspaceModel.load.cache.from.file.ms,1778353214990000000,1778353275078000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1778353214990000000,1778353275078000000,51
jps.project.serializers.load.ms,1778353214990000000,1778353275078000000,18
jps.global.get.library.by.name.ms,1778353214990000000,1778353275078000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1778353214990000000,1778353275078000000,7
workspaceModel.mutableEntityStorage.entities.by.source.ms,1778353214990000000,1778353275078000000,0
